timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1702759633599,5,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-9,text,true,,687,131,2,2,http://localhost:5000/api/v1/livros,5,0,1
1702759633600,4,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-10,text,true,,687,131,2,2,http://localhost:5000/api/v1/livros,4,0,1
1702759633604,5,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-9,text,true,,687,131,2,2,http://localhost:5000/api/v1/livros,4,0,1
1702759633604,3,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-10,text,true,,687,131,2,2,http://localhost:5000/api/v1/livros,3,0,0
1702759633606,2,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-9,text,true,,687,131,2,2,http://localhost:5000/api/v1/livros,2,0,0
1702759633609,4,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-10,text,true,,687,131,2,2,http://localhost:5000/api/v1/livros,4,0,0
1702759633611,5,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-9,text,true,,687,131,2,2,http://localhost:5000/api/v1/livros,5,0,1
1702759633613,4,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-10,text,true,,687,131,2,2,http://localhost:5000/api/v1/livros,4,0,1
1702759633618,6,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-9,text,true,,687,131,2,2,http://localhost:5000/api/v1/livros,6,0,0
1702759633619,6,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-10,text,true,,687,131,1,1,http://localhost:5000/api/v1/livros,6,0,1
1702759633622,3,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-10,text,true,,687,131,1,1,http://localhost:5000/api/v1/livros,3,0,1
1702759633624,2,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-10,text,true,,687,131,1,1,http://localhost:5000/api/v1/livros,2,0,0
